date,4. close,2. high,1. open,3. low,5. volume
1999-08-30,119.25,130.0,127.563,117.875,18494400.0
1999-08-31,124.375,124.688,118.375,112.188,32792400.0
1999-09-01,119.063,127.0022,127.0,117.5,21961600.0
1999-09-02,60.063,61.938,57.5,57.375,16838700.0
1999-09-03,62.438,64.0,63.625,60.625,16435900.0
1999-09-07,62.938,64.375,63.813,62.125,9008700.0
1999-09-08,61.438,63.25,62.0,60.938,6976000.0
1999-09-09,63.625,64.438,63.5,62.375,9183200.0
1999-09-10,66.5,68.0,65.938,64.875,12420900.0
1999-09-13,63.313,66.0,65.625,62.5,7747600.0
1999-09-14,66.0,66.438,62.75,62.75,8782800.0
1999-09-15,65.563,67.938,67.75,65.0,7817300.0
1999-09-16,65.25,65.8139,64.938,62.75,7058900.0
1999-09-17,63.813,66.0,65.625,62.75,7239500.0
1999-09-20,62.75,65.0,63.688,62.688,5957100.0
1999-09-21,62.25,63.938,61.625,61.0,8232500.0
1999-09-22,66.0,66.5,62.875,60.6859,10037500.0
1999-09-23,62.25,68.75,67.0,61.234,14373600.0
1999-09-24,65.0,66.0,62.0,61.5049,10972500.0
1999-09-27,62.563,67.875,66.188,61.875,14383100.0
1999-09-28,65.875,66.5,62.5,61.125,15768800.0
1999-09-29,80.75,85.0,66.5,65.75,79374400.0
1999-09-30,79.938,81.5,79.813,76.25,31046200.0
1999-10-01,77.25,79.25,77.0,76.656,10430300.0
1999-10-04,77.063,79.75,79.438,75.75,9757400.0
1999-10-05,78.438,79.75,77.125,74.75,16420100.0
1999-10-06,82.438,83.625,79.563,79.5,15532200.0
1999-10-07,87.313,90.0,85.625,83.5,24609400.0
1999-10-08,89.25,89.5,86.875,84.438,11458700.0
1999-10-11,88.375,89.375,89.125,86.75,6692400.0
1999-10-12,84.938,88.5,87.688,84.875,7231400.0
1999-10-13,79.938,85.0,82.5,79.563,11561800.0
1999-10-14,79.594,83.375,80.5,78.438,12713000.0
1999-10-15,75.063,77.063,75.875,73.938,12186900.0
1999-10-18,74.063,76.5,75.063,71.063,10793800.0
1999-10-19,76.625,78.25,77.625,75.625,7780000.0
1999-10-20,80.5,80.6254,78.313,76.344,7735500.0
1999-10-21,80.75,82.813,77.938,77.063,8961000.0
1999-10-22,78.625,83.6188,81.438,78.0,7304800.0
1999-10-25,82.75,83.0,79.0,77.938,7180900.0
1999-10-26,81.25,84.313,83.125,80.125,7711500.0
1999-10-27,75.938,79.375,79.375,74.813,12835200.0
1999-10-28,71.0,73.125,69.5,65.875,35726400.0
1999-10-29,70.625,72.813,72.75,69.25,9688800.0
1999-11-01,69.125,71.875,68.063,66.313,12824100.0
1999-11-02,66.438,70.0,69.75,65.063,13243200.0
1999-11-03,65.813,68.5,68.188,65.0,10772100.0
1999-11-04,63.063,67.188,67.188,61.0025,16759200.0
1999-11-05,64.938,65.5,64.75,62.2516,11091400.0
1999-11-08,78.0,80.0,64.813,63.5,32339400.0
1999-11-09,70.813,83.063,82.0,70.0,26477100.0
1999-11-10,72.0,75.0102,71.563,70.125,11506700.0
1999-11-11,73.0,76.625,74.75,71.375,9293900.0
1999-11-12,74.938,75.0,73.7435,70.813,10319600.0
1999-11-15,73.5,76.0,75.6215,73.313,6437200.0
1999-11-16,78.938,79.625,74.25,73.75,15238700.0
1999-11-17,76.5,80.0,77.938,75.438,6657400.0
1999-11-18,77.938,78.188,76.75,75.25,5810400.0
1999-11-19,77.938,78.125,77.875,76.063,5760600.0
1999-11-22,80.5,82.5,77.875,76.0,10708400.0
1999-11-23,81.75,85.625,80.375,76.25,18332500.0
1999-11-24,87.25,87.75,84.25,83.25,14483100.0
1999-11-26,93.125,95.125,91.063,90.5,11496000.0
1999-11-29,90.438,96.875,95.5,90.125,18053700.0
1999-11-30,85.063,88.875,88.266,83.813,13465500.0
1999-12-01,85.0,87.8779,87.25,81.969,10663600.0
1999-12-02,89.063,91.313,86.0,85.625,9538700.0
1999-12-03,86.563,93.375,92.5,86.063,11151200.0
1999-12-06,87.75,89.875,86.875,84.688,9199200.0
1999-12-07,86.063,88.0,88.0,84.375,6727100.0
1999-12-08,88.563,93.0,86.813,86.0,12867200.0
1999-12-09,103.625,113.0,95.5,93.438,41364600.0
1999-12-10,106.688,112.0,111.938,104.438,14929000.0
1999-12-13,102.5,106.625,106.625,101.5,8653700.0
1999-12-14,95.625,104.0,103.75,93.563,10107900.0
1999-12-15,96.5,99.438,92.875,91.0,10133500.0
1999-12-16,94.875,98.75,98.25,93.5,7004400.0
1999-12-17,94.063,97.625,97.188,93.813,5955900.0
1999-12-20,97.0,102.0,97.75,95.063,10566600.0
1999-12-21,99.875,100.438,96.563,95.4988,9509500.0
1999-12-22,97.688,100.563,100.563,95.5,5921000.0
1999-12-23,90.0,99.0,98.0,89.063,12914600.0
1999-12-27,81.125,88.25,87.75,80.0,16523800.0
1999-12-28,82.313,86.5,83.063,81.563,10304300.0
1999-12-29,83.5,85.375,83.438,82.625,5913000.0
1999-12-30,79.063,85.125,84.625,78.5,9256600.0
1999-12-31,76.125,79.375,79.313,76.0,7270700.0
