date,4. close,2. high,1. open,3. low,5. volume
2004-08-19,100.34,104.06,100.0,95.96,44659000.0
2004-08-20,108.31,109.08,101.48,108.31,22834300.0
2004-08-23,109.4,113.48,110.7698,109.4,18256100.0
2004-08-24,104.87,111.6,111.24,104.87,15247300.0
2004-08-25,106.0,108.0,104.96,106.0,9188600.0
2004-08-26,107.91,107.95,104.95,107.91,7094800.0
2004-08-27,106.15,108.62,108.1,106.15,6211700.0
2004-08-30,102.01,105.49,105.49,102.01,5196700.0
2004-08-31,102.37,103.71,102.32,102.37,4917800.0
2004-09-01,100.25,102.9707,102.7,100.25,9138200.0
2004-09-02,101.51,102.3656,99.09,101.51,15118600.0
2004-09-03,100.01,101.74,100.95,100.01,5152400.0
2004-09-07,101.58,102.0,101.0213,101.58,5847500.0
2004-09-08,102.3,103.0283,100.74,102.3,4985600.0
2004-09-09,102.31,102.71,102.4999,102.31,4061700.0
2004-09-10,105.33,106.56,101.6,105.33,8698800.0
2004-09-13,107.5,108.41,106.6294,107.5,7844100.0
2004-09-14,111.49,112.0,107.44,111.49,10828900.0
2004-09-15,112.0,114.23,110.56,112.0075,10713000.0
2004-09-16,113.97,115.8,112.34,113.97,9266300.0
2004-09-17,117.49,117.49,114.42,117.49,9472500.0
2004-09-20,119.36,121.6,116.95,119.36,10628700.0
2004-09-21,117.84,120.42,120.1962,117.84,7228700.0
2004-09-22,118.38,119.67,117.4489,118.38,7581200.0
2004-09-23,120.82,122.63,118.84,120.82,8535600.0
2004-09-24,119.83,124.1,120.97,119.83,9123400.0
2004-09-27,118.26,120.88,119.56,118.26,7066100.0
2004-09-28,126.86,127.4,121.15,126.8577,16929000.0
2004-09-29,131.08,135.02,126.64,131.08,30516400.0
2004-09-30,129.6,132.3084,129.899,129.6,13758000.0
2004-10-01,132.58,134.24,130.8,132.58,15124800.0
2004-10-04,135.06,136.87,135.82,135.06,13022700.0
2004-10-05,138.37,138.53,134.66,138.37,14973200.0
2004-10-06,137.08,138.45,137.67,137.08,13381400.0
2004-10-07,138.85,139.88,136.56,138.85,14115000.0
2004-10-08,137.73,139.68,138.73,137.73,11069500.0
2004-10-11,135.26,138.86,137.01,135.26,10472100.0
2004-10-12,137.4,137.61,134.49,137.4,11665500.0
2004-10-13,140.9,143.55,143.32,140.9,19766200.0
2004-10-14,142.0,142.38,141.0285,142.0,10442100.0
2004-10-15,144.11,145.5,144.95,144.11,13194700.0
2004-10-18,149.16,149.2,143.2,149.16,14036300.0
2004-10-19,147.94,152.4,150.5,147.94,18109800.0
2004-10-20,140.49,148.99,147.94,140.49,22722600.0
2004-10-21,149.38,150.13,144.13,149.38,29149800.0
2004-10-22,172.43,180.17,170.4375,172.43,73710000.0
2004-10-25,187.4,194.4325,176.28,187.4,65462800.0
2004-10-26,181.8,192.64,186.449,181.8,44569500.0
