date,4. close,2. high,1. open,3. low,5. volume
2002-05-22,15.0,15.0,15.0,15.0,0.0
2002-05-23,16.75,17.4,16.19,16.04,7485000.0
2002-05-24,16.94,17.15,17.0,16.76,793200.0
2002-05-28,16.2,17.25,16.99,16.2,472100.0
2002-05-29,15.45,16.3,16.3,15.2,482700.0
2002-05-30,15.0,15.51,15.51,15.0,725300.0
2002-05-31,15.07,15.1,15.1,15.0,604600.0
2002-06-03,15.8,16.09,15.12,15.07,225100.0
2002-06-04,15.65,15.96,15.9,15.55,221800.0
2002-06-05,16.06,16.2295,15.55,15.5,109400.0
2002-06-06,16.55,17.25,16.1,16.082,164700.0
2002-06-07,15.66,16.49,16.49,15.45,97800.0
2002-06-10,16.191,16.45,15.89,15.889,34600.0
2002-06-11,16.15,16.64,16.191,15.8,71700.0
2002-06-12,15.3,16.55,16.151,15.251,128500.0
2002-06-13,15.16,15.71,15.46,15.12,183400.0
2002-06-14,13.81,15.199,15.15,13.72,341700.0
2002-06-17,12.91,14.83,14.19,12.85,346800.0
2002-06-18,12.75,13.15,13.14,11.79,772000.0
2002-06-19,13.32,13.95,12.76,12.5,391600.0
2002-06-20,13.4,14.56,13.6,13.3,436500.0
2002-06-21,13.71,13.85,13.75,13.27,167613.0
2002-06-24,13.7,14.1993,13.71,13.4,183400.0
2002-06-25,13.5,14.1,13.84,13.26,281500.0
2002-06-26,13.84,13.9507,13.49,12.9,208900.0
2002-06-27,13.21,14.26,14.13,13.209,272700.0
2002-06-28,13.99,14.19,13.45,13.4509,717500.0
2002-07-01,14.39,14.65,14.0,13.9,327498.0
2002-07-02,16.42,16.739,14.75,14.55,644300.0
2002-07-03,17.0,17.0,16.5,15.65,354100.0
2002-07-05,17.87,18.19,17.0,16.99,143100.0
2002-07-08,16.46,17.53,17.53,16.35,139500.0
2002-07-09,16.25,16.75,16.45,15.6,209700.0
2002-07-10,16.29,16.5,16.26,15.8509,111000.0
2002-07-11,17.77,17.9,16.16,15.86,180700.0
2002-07-12,16.91,17.92,17.9,16.9,202700.0
2002-07-15,16.0,17.48,17.4,15.07,302800.0
2002-07-16,15.77,16.2,16.14,15.4597,138700.0
2002-07-17,15.25,16.29,16.03,15.06,90300.0
2002-07-18,16.09,16.33,15.64,15.55,207100.0
2002-07-19,16.24,16.25,16.14,15.71,128000.0
2002-07-22,16.39,16.51,15.9015,15.618,142430.0
2002-07-23,16.05,16.99,16.47,15.83,112700.0
2002-07-24,15.6,16.23,16.05,15.04,239913.0
2002-07-25,14.51,15.79,15.75,14.49,339783.0
2002-07-26,12.2,14.82,14.7,11.9,503402.0
2002-07-29,12.27,12.94,12.55,11.9,233020.0
2002-07-30,12.801,13.2,12.51,12.51,269800.0
2002-07-31,13.35,13.44,13.0,12.68,238120.0
2002-08-01,12.48,13.44,13.301,12.29,323500.0
2002-08-02,10.89,12.43,12.4109,9.89,475487.0
2002-08-05,10.85,11.38,10.9,10.65,272000.0
2002-08-06,10.65,11.25,11.14,10.3996,229800.0
2002-08-07,11.11,11.11,10.65,10.4,197017.0
2002-08-08,11.15,11.25,11.15,10.51,163100.0
2002-08-09,11.02,11.5002,11.18,10.901,107300.0
2002-08-12,10.6,11.3,11.24,10.5499,152200.0
2002-08-13,10.82,11.27,10.75,10.561,119800.0
2002-08-14,11.67,11.67,10.86,10.8,289163.0
2002-08-15,12.36,12.75,11.72,11.661,233100.0
2002-08-16,12.78,12.94,12.5,12.0,130600.0
2002-08-19,13.75,13.78,12.95,12.85,148200.0
2002-08-20,13.25,13.9118,13.79,12.9,181535.0
2002-08-21,13.56,13.6,13.349,12.86,198550.0
2002-08-22,13.77,13.99,13.63,13.01,211752.0
2002-08-23,13.91,13.95,13.919,13.55,171900.0
2002-08-26,13.55,13.95,13.95,13.13,188900.0
2002-08-27,12.23,13.55,13.55,12.0093,356000.0
2002-08-28,12.1,12.46,12.06,11.55,162500.0
2002-08-29,12.65,12.91,11.66,11.5398,171100.0
2002-08-30,13.11,13.4808,12.8,12.52,151700.0
2002-09-03,12.959,13.49,13.11,12.79,114120.0
2002-09-04,13.0,13.249,12.96,12.71,26700.0
2002-09-05,12.85,13.1,12.85,12.75,20400.0
2002-09-06,12.8,13.1,12.99,12.75,54500.0
2002-09-09,12.62,12.95,12.87,12.5,101482.0
2002-09-10,13.23,13.3,12.6104,12.45,339100.0
2002-09-11,13.46,13.67,13.14,13.14,116490.0
2002-09-12,12.951,13.54,13.48,12.8,138800.0
2002-09-13,12.3,12.98,12.9013,12.1,177900.0
2002-09-16,12.0,12.49,12.49,11.9394,250900.0
2002-09-17,11.62,12.1,12.0989,11.55,204660.0
2002-09-18,11.03,11.78,11.71,10.99,108700.0
2002-09-19,10.14,11.0,10.99,10.05,355600.0
2002-09-20,9.919,10.75,10.55,9.8,248900.0
2002-09-23,9.961,10.25,10.0,9.881,345850.0
2002-09-24,10.05,10.15,9.96,9.65,267719.0
2002-09-25,10.25,10.5009,10.149,9.91,104150.0
2002-09-26,10.968,10.968,10.48,10.2,297549.0
2002-09-27,10.08,10.98,10.87,9.972,365033.0
2002-09-30,9.7,10.1,9.9,9.65,345650.0
2002-10-01,9.5,9.94,9.93,9.25,275065.0
2002-10-02,8.1,9.64,9.64,7.85,665420.0
2002-10-03,7.251,7.98,7.97,6.85,702773.0
2002-10-04,6.563,7.44,7.25,6.26,602401.0
2002-10-07,5.77,6.42,6.3,5.35,1124025.0
2002-10-08,5.67,5.99,5.75,5.47,323844.0
2002-10-09,5.22,5.75,5.74,4.86,427350.0
2002-10-10,7.09,7.35,5.29,4.85,970247.0
2002-10-11,6.59,7.4,7.12,6.25,948837.0
2002-10-14,7.48,7.49,6.5,6.49,376650.0
2002-10-15,7.7,8.2,7.6,7.59,295034.0
2002-10-16,6.43,7.46,7.4096,6.2,414739.0
2002-10-17,7.7,8.2,6.61,6.6,535383.0
2002-10-18,9.56,10.3,8.2,8.2,1780526.0
2002-10-21,8.91,9.3,8.94,8.52,692044.0
2002-10-22,8.759,9.01,8.9,8.65,304726.0
2002-10-23,8.25,8.75,8.75,8.2,253151.0
2002-10-24,8.11,8.49,8.49,7.75,173857.0
2002-10-25,9.0,9.59,8.12,7.95,460636.0
2002-10-28,9.6,9.9,9.3,9.1004,403727.0
2002-10-29,9.2,9.5,9.45,8.86,143323.0
2002-10-30,8.98,9.32,9.29,8.9,101700.0
2002-10-31,8.971,9.0,8.9098,8.73,118505.0
2002-11-01,8.94,9.0,8.8,8.5,152196.0
2002-11-04,9.4,9.84,9.0,8.95,256480.0
